date,rank,ticker6,name,market_cap,predicted_gap,predicted_gap_net,vol_ratio,primary_driver,drivers_str
2026-05-14,1,267850,아시아나IDT,121323000000,0.02152,0.01652,8.15,KWEB,KWEB:β+0.22@+1.06%; EWY:β+0.10@+0.58%; GOOGL:β+0.13@+0.51%
2026-05-14,2,025560,미래산업,116834502600,0.01778,0.01278,9.545,EWY,SMH:β+0.30@+0.60%; EWY:β+0.21@+1.18%
2026-05-14,3,090360,로보스타,786825000000,0.01003,0.00503,6.485,SMH,SMH:β+0.50@+1.00%
2026-05-15,1,254490,미래반도체,620834000000,0.02671,0.02171,7.099,NVDA,NVDA:β+0.61@+2.67%
2026-05-15,2,080220,제주반도체,2603878174800,0.03194,0.02694,4.694,TSM,TSM:β+0.71@+3.19%
2026-05-15,3,452280,한선엔지니어링,466725685000,0.01499,0.00999,3.2,AVGO,AVGO:β+0.27@+1.50%
2026-05-15,1,254490,미래반도체,620834000000,0.02671,0.02171,7.099,NVDA,NVDA:β+0.61@+2.67%
2026-05-15,2,080220,제주반도체,2603878174800,0.03194,0.02694,4.694,TSM,TSM:β+0.71@+3.19%
2026-05-15,3,452280,한선엔지니어링,466725685000,0.01499,0.00999,3.2,AVGO,AVGO:β+0.27@+1.50%
2026-05-18,1,003280,흥아해운,658764223260,0.0522,0.0472,5.655,EWY,EWY:β-0.38@+2.34%; XBI:β-0.53@+1.65%; XLY:β-0.68@+1.23%
2026-05-18,2,001130,대한제분,264485000000,0.06836,0.06336,,AMD,AMD:β-0.47@+2.68%; SMCI:β-0.32@+1.94%; XLE:β+0.94@+2.22%
2026-05-18,3,015590,DKME,141477979380,0.01436,0.00936,,KWEB,KWEB:β-0.41@+1.44%
2026-05-18,1,003280,흥아해운,658764223260,0.0522,0.0472,5.655,EWY,EWY:β-0.38@+2.34%; XBI:β-0.53@+1.65%; XLY:β-0.68@+1.23%
2026-05-18,2,001130,대한제분,264485000000,0.06836,0.06336,,AMD,AMD:β-0.47@+2.68%; SMCI:β-0.32@+1.94%; XLE:β+0.94@+2.22%
2026-05-18,3,015590,DKME,141477979380,0.01436,0.00936,,KWEB,KWEB:β-0.41@+1.44%
2026-05-19,1,003280,흥아해운,646742978310,0.01801,0.01301,2.518,XBI,EWY:β-0.38@+0.58%; XBI:β-0.53@+1.22%
2026-05-19,2,009160,SIMPAC,392225808000,0.00891,0.00391,2.178,NFLX,NFLX:β+0.29@+0.89%
2026-05-19,3,018670,SK가스,2309682378000,0.00639,0.00139,2.254,XLE,EWY:β-0.13@+0.20%; XLE:β+0.23@+0.44%
2026-05-19,1,003280,흥아해운,646742978310,0.01801,0.01301,2.518,XBI,EWY:β-0.38@+0.58%; XBI:β-0.53@+1.22%
2026-05-19,2,009160,SIMPAC,392225808000,0.00891,0.00391,2.178,NFLX,NFLX:β+0.29@+0.89%
2026-05-19,3,018670,SK가스,2309682378000,0.00639,0.00139,2.254,XLE,EWY:β-0.13@+0.20%; XLE:β+0.23@+0.44%
2026-05-20,1,007810,코리아써키트,1937795696000,0.00858,0.00358,1.556,MU,MU:β+0.34@+0.86%
2026-05-20,1,007810,코리아써키트,1937795696000,0.00858,0.00358,1.556,MU,MU:β+0.34@+0.86%
2026-05-21,1,388210,씨엠티엑스,1065568842800,0.10381,0.09881,1.996,SMH,SMH:β+1.21@+4.59%; XLK:β+1.69@+3.81%; TSM:β+0.86@+1.98%
2026-05-21,2,274090,켄코아에어로스페이스,331569308700,0.03197,0.02697,6.504,XLK,XLK:β+0.57@+1.28%; AMZN:β+0.36@+0.79%; ITA:β+0.49@+1.12%
2026-05-21,3,338840,와이바이오로직스,279827261010,0.07047,0.06547,1.585,XBI,XLY:β+1.02@+2.57%; XLK:β+0.82@+1.84%; XBI:β+0.68@+2.63%
2026-05-21,1,388210,씨엠티엑스,1065568842800,0.10381,0.09881,1.996,SMH,SMH:β+1.21@+4.59%; XLK:β+1.69@+3.81%; TSM:β+0.86@+1.98%
